company_name,high,low,last_price,prev_close,change,percent_gain
Reliance,"2,817.35","2,742.00","2,779.50","2,724.30",55.2,2.03
Infosys,"1,555.00","1,518.00","1,521.70","1,508.00",13.7,0.91
Larsen,"1,673.70","1,644.95","1,652.05","1,637.15",14.9,0.91
Sun Pharma,875.00,854.85,865.10,859.55,5.55,0.65
TCS,"3,477.30","3,431.20","3,440.15","3,423.00",17.15,0.5
HCL Tech,"1,069.65","1,040.20","1,043.00","1,039.70",3.3,0.32
HUL,"2,324.95","2,265.15","2,291.95","2,284.80",7.15,0.31
Wipro,488.00,474.50,475.50,474.15,1.35,0.28
Power Grid Corp,228.10,225.00,226.00,225.55,0.45,0.2
Tech Mahindra,"1,182.00","1,144.10","1,147.90","1,146.00",1.9,0.17
Dr Reddys Labs,"4,391.65","4,314.80","4,340.00","4,333.15",6.85,0.16
Kotak Mahindra,"1,879.00","1,853.10","1,858.65","1,857.65",1,0.05
