company_name,high,low,last_price,prev_close,change,percent_gain
HUL,"2,202.90","2,108.15","2,195.90","2,110.45",85.45,4.05
HDFC,"2,139.85","2,062.10","2,135.25","2,052.70",82.55,4.02
Asian Paints,"2,673.35","2,588.35","2,660.70","2,580.20",80.5,3.12
UltraTechCement,"5,347.45","5,161.80","5,333.30","5,177.30",156,3.01
Apollo Hospital,"3,825.00","3,682.90","3,811.70","3,701.25",110.45,2.98
HDFC Bank,"1,325.00","1,294.15","1,322.15","1,289.75",32.4,2.51
Wipro,417.90,404.15,414.65,405.20,9.45,2.33
Shree Cements,"18,503.50","17,865.20","18,414.00","18,045.75",368.25,2.04
Grasim,"1,321.50","1,285.00","1,316.00","1,290.05",25.95,2.01
Nestle,"17,022.95","16,537.55","16,967.10","16,642.40",324.7,1.95
Infosys,"1,422.35","1,382.00","1,414.15","1,387.30",26.85,1.94
Sun Pharma,813.50,794.50,805.30,793.40,11.9,1.5
Divis Labs,"3,539.95","3,452.05","3,533.55","3,481.95",51.6,1.48
Tech Mahindra,988.15,948.05,979.35,965.05,14.3,1.48
Britannia,"3,399.90","3,270.95","3,378.60","3,332.10",46.5,1.4
Titan Company,"1,973.45","1,905.45","1,961.70","1,936.45",25.25,1.3
Cipla,928.15,902.00,925.85,914.75,11.1,1.21
Bajaj Finance,"5,510.00","5,352.00","5,470.45","5,419.55",50.9,0.94
TCS,"3,138.75","3,069.00","3,112.40","3,088.90",23.5,0.76
TATA Cons. Prod,722.75,705.00,716.85,711.65,5.2,0.73
Eicher Motors,"2,661.90","2,599.95","2,623.25","2,604.80",18.45,0.71
HDFC Life,558.45,545.85,553.15,550.80,2.35,0.43
Kotak Mahindra,"1,689.85","1,652.00","1,679.20","1,673.60",5.6,0.33
ITC,266.15,261.35,264.10,263.30,0.8,0.3
HCL Tech,966.00,952.10,960.05,958.75,1.3,0.14
Dr Reddys Labs,"4,179.20","4,107.10","4,151.80","4,146.70",5.1,0.12
