company_name,high,low,last_price,prev_close,change,percent_gain
HCL Tech,"1,348.00","1,280.00","1,343.65","1,288.10",55.55,4.31
Adani Ports,768.90,728.50,765.10,738.85,26.25,3.55
HDFC,"2,729.00","2,664.00","2,710.95","2,659.65",51.3,1.93
ONGC,161.65,157.60,160.95,158.35,2.6,1.64
Tech Mahindra,"1,745.00","1,705.00","1,737.15","1,716.00",21.15,1.23
Divis Labs,"4,539.85","4,434.25","4,516.55","4,465.80",50.75,1.14
TCS,"3,925.00","3,856.00","3,915.90","3,879.85",36.05,0.93
TATA Cons. Prod,743.60,730.75,738.65,731.90,6.75,0.92
Reliance,"2,474.95","2,435.00","2,455.55","2,438.00",17.55,0.72
Sun Pharma,841.50,828.30,832.40,826.70,5.7,0.69
SBI,507.80,499.25,505.95,503.65,2.3,0.46
Grasim,"1,871.00","1,821.00","1,846.90","1,838.85",8.05,0.44
HDFC Bank,"1,568.70","1,547.80","1,565.90","1,559.15",6.75,0.43
Larsen,"1,970.00","1,937.65","1,961.15","1,953.10",8.05,0.41
Shree Cements,"27,220.00","26,800.00","27,038.55","26,945.05",93.5,0.35
SBI Life Insura,"1,239.95","1,224.10","1,233.40","1,229.10",4.3,0.35
NTPC,134.00,131.00,132.30,131.85,0.45,0.34
UltraTechCement,"7,679.40","7,561.20","7,606.30","7,585.15",21.15,0.28
Nestle,"19,825.00","19,550.00","19,761.95","19,708.00",53.95,0.27
Infosys,"1,870.00","1,850.15","1,855.60","1,850.75",4.85,0.26
Maruti Suzuki,"8,162.45","8,069.30","8,143.85","8,125.60",18.25,0.22
Wipro,698.45,689.00,694.15,693.50,0.65,0.09
Axis Bank,747.05,737.30,743.25,742.80,0.45,0.06
Bajaj Auto,"3,445.95","3,413.00","3,436.75","3,435.10",1.65,0.05
