company_name,high,low,last_price,prev_close,change,percent_gain
HDFC Life,594.00,573.20,582.40,571.40,11,1.93
TATA Cons. Prod,835.25,813.00,823.75,811.65,12.1,1.49
Kotak Mahindra,"1,810.30","1,767.00","1,790.75","1,765.65",25.1,1.42
HDFC Bank,"1,404.75","1,371.55","1,384.60","1,371.35",13.25,0.97
Sun Pharma,967.05,919.55,928.65,921.00,7.65,0.83
Tata Steel,"1,291.70","1,265.65","1,271.05","1,260.85",10.2,0.81
Tata Motors,447.75,436.00,437.60,436.05,1.55,0.36
HDFC,"2,283.50","2,215.00","2,229.70","2,224.00",5.7,0.26
Dr Reddys Labs,"4,266.00","4,115.10","4,131.95","4,122.15",9.8,0.24
UltraTechCement,"6,797.00","6,520.20","6,630.25","6,616.95",13.3,0.2
Shree Cements,"26,340.00","25,777.55","25,921.50","25,872.60",48.9,0.19
