company_name,high,low,last_price,prev_close,change,percent_gain
Infosys,"1,494.00","1,467.25","1,474.25","1,419.90",54.35,3.83
HDFC Bank,"1,447.00","1,415.25","1,439.00","1,393.60",45.4,3.26
HDFC,"2,359.00","2,305.00","2,343.50","2,283.25",60.25,2.64
UPL,687.60,672.00,678.30,663.90,14.4,2.17
HCL Tech,"1,023.00",994.00,"1,002.55",982.10,20.45,2.08
ICICI Bank,883.80,868.55,870.25,853.60,16.65,1.95
Larsen,"1,936.75","1,898.45","1,911.60","1,876.15",35.45,1.89
Kotak Mahindra,"1,858.00","1,822.50","1,834.00","1,801.50",32.5,1.8
Bajaj Finance,"7,345.00","7,221.00","7,272.50","7,151.65",120.85,1.69
Divis Labs,"3,587.45","3,541.05","3,572.80","3,523.85",48.95,1.39
Dr Reddys Labs,"4,340.00","4,263.05","4,310.80","4,254.65",56.15,1.32
SBI,534.85,526.00,527.20,521.45,5.75,1.1
ITC,333.90,330.85,332.10,328.65,3.45,1.05
Grasim,"1,715.25","1,687.80","1,695.55","1,679.75",15.8,0.94
Nestle,"19,013.75","18,850.00","18,928.00","18,763.65",164.35,0.88
Sun Pharma,979.90,964.00,976.30,968.40,7.9,0.82
Coal India,238.95,235.35,236.35,234.55,1.8,0.77
Titan Company,"2,663.60","2,607.75","2,617.80","2,598.65",19.15,0.74
Apollo Hospital,"4,324.00","4,264.05","4,297.15","4,266.05",31.1,0.73
Tech Mahindra,"1,049.90","1,016.05","1,019.85","1,012.95",6.9,0.68
TATA Cons. Prod,768.95,760.00,761.25,757.40,3.85,0.51
Cipla,"1,120.00","1,105.40","1,108.90","1,103.65",5.25,0.48
HDFC Life,534.40,521.80,523.00,520.65,2.35,0.45
Bajaj Finserv,"1,709.00","1,685.10","1,688.30","1,681.75",6.55,0.39
Bajaj Finserv,"1,709.00","1,685.10","1,688.30","1,681.75",6.55,0.39
HUL,"2,624.90","2,570.20","2,575.80","2,566.40",9.4,0.37
Britannia,"3,814.90","3,769.25","3,796.25","3,784.60",11.65,0.31
NTPC,167.50,164.85,165.10,164.75,0.35,0.21
Eicher Motors,"3,554.90","3,469.80","3,477.20","3,471.20",6,0.17
UltraTechCement,"6,260.00","6,169.00","6,192.00","6,181.75",10.25,0.17
