company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,611.80,597.50,608.45,593.45,15,2.53
Dr Reddys Labs,"4,188.95","4,040.00","4,127.30","4,030.35",96.95,2.41
Divis Labs,"4,573.85","4,460.25","4,553.55","4,448.55",105,2.36
Tata Steel,"1,347.80","1,292.35","1,331.00","1,302.00",29,2.23
UPL,796.40,780.00,793.95,780.95,13,1.66
JSW Steel,710.00,692.25,704.40,696.50,7.9,1.13
ITC,253.70,248.50,252.00,249.75,2.25,0.9
IOC,123.00,120.65,121.70,120.65,1.05,0.87
Power Grid Corp,210.60,208.30,210.10,208.70,1.4,0.67
Eicher Motors,"2,413.70","2,363.00","2,394.10","2,380.40",13.7,0.58
NTPC,133.75,132.20,133.45,132.85,0.6,0.45
IndusInd Bank,944.45,928.10,931.35,927.70,3.65,0.39
HCL Tech,"1,190.85","1,170.00","1,180.70","1,176.40",4.3,0.37
UltraTechCement,"6,312.50","6,195.05","6,234.00","6,211.60",22.4,0.36
Reliance,"2,564.85","2,523.00","2,539.20","2,531.15",8.05,0.32
TCS,"3,729.80","3,690.00","3,712.40","3,700.95",11.45,0.31
Bajaj Finance,"7,104.00","6,970.00","7,004.80","6,985.80",19,0.27
Tech Mahindra,"1,561.70","1,529.20","1,542.15","1,538.20",3.95,0.26
Wipro,615.00,607.70,611.20,610.05,1.15,0.19
Shree Cements,"23,650.00","23,275.00","23,413.20","23,373.30",39.9,0.17
ONGC,177.70,174.85,175.60,175.45,0.15,0.09
ICICI Bank,726.80,714.25,718.30,718.20,0.1,0.01
