company_name,high,low,last_price,prev_close,change,percent_gain
Coal India,216.15,207.05,215.40,208.45,6.95,3.33
M&M,"1,280.00","1,242.65","1,276.70","1,235.90",40.8,3.3
Bajaj Finserv,"15,589.00","15,040.75","15,530.65","15,085.85",444.8,2.95
Hindalco,422.55,414.00,421.40,410.80,10.6,2.58
HDFC Bank,"1,464.50","1,427.10","1,462.05","1,427.05",35,2.45
NTPC,160.00,154.95,159.40,155.60,3.8,2.44
Larsen,"1,832.05","1,790.25","1,829.65","1,787.45",42.2,2.36
Axis Bank,747.35,728.10,745.55,728.50,17.05,2.34
HDFC,"2,402.00","2,342.15","2,393.70","2,355.20",38.5,1.63
Dr Reddys Labs,"4,234.00","4,156.85","4,223.35","4,156.85",66.5,1.6
IndusInd Bank,"1,057.70","1,033.70","1,050.20","1,036.30",13.9,1.34
Reliance,"2,583.55","2,531.00","2,567.15","2,534.00",33.15,1.31
Apollo Hospital,"4,474.55","4,380.05","4,427.35","4,374.10",53.25,1.22
Maruti Suzuki,"8,998.00","8,841.00","8,921.95","8,841.20",80.75,0.91
Eicher Motors,"3,145.10","3,072.15","3,116.75","3,089.60",27.15,0.88
HCL Tech,968.00,950.05,966.05,957.75,8.3,0.87
UPL,751.55,736.55,749.15,743.45,5.7,0.77
ITC,313.95,310.05,313.15,310.85,2.3,0.74
Divis Labs,"3,949.00","3,875.00","3,937.60","3,912.20",25.4,0.65
Tata Motors,471.90,464.45,468.25,465.25,3,0.64
Tata Motors,471.90,464.45,468.25,465.25,3,0.64
Kotak Mahindra,"1,849.50","1,816.80","1,844.50","1,833.90",10.6,0.58
Titan Company,"2,474.70","2,433.15","2,446.95","2,432.80",14.15,0.58
Bajaj Finance,"7,398.00","7,264.00","7,342.20","7,304.70",37.5,0.51
TATA Cons. Prod,793.90,781.00,788.70,784.80,3.9,0.5
JSW Steel,676.00,662.45,669.20,667.15,2.05,0.31
TCS,"3,378.90","3,336.00","3,374.45","3,365.05",9.4,0.28
SBI Life Insura,"1,272.35","1,251.25","1,269.90","1,266.65",3.25,0.26
Bajaj Auto,"4,039.90","4,000.00","4,022.65","4,013.10",9.55,0.24
HUL,"2,658.00","2,626.05","2,650.35","2,645.40",4.95,0.19
Infosys,"1,622.00","1,596.00","1,619.40","1,616.65",2.75,0.17
Bharti Airtel,709.85,699.00,704.35,703.65,0.7,0.1
Grasim,"1,607.05","1,585.00","1,598.65","1,598.30",0.35,0.02
