company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,160.00,153.75,158.60,154.45,4.15,2.69
Axis Bank,676.00,655.45,672.35,659.75,12.6,1.91
IndusInd Bank,928.00,891.30,923.35,910.75,12.6,1.38
Cipla,942.60,904.25,937.60,926.15,11.45,1.24
HDFC,"2,237.85","2,186.35","2,219.10","2,201.30",17.8,0.81
HDFC Life,575.70,559.50,563.55,559.20,4.35,0.78
Kotak Mahindra,"1,818.00","1,796.00","1,809.95","1,797.15",12.8,0.71
JSW Steel,658.00,635.35,648.95,645.30,3.65,0.57
HDFC Bank,"1,355.00","1,328.65","1,348.60","1,341.05",7.55,0.56
SBI Life Insura,"1,104.45","1,079.00","1,087.15","1,081.05",6.1,0.56
Bajaj Auto,"3,627.95","3,537.30","3,612.85","3,593.05",19.8,0.55
Bharti Airtel,735.00,716.90,722.85,719.65,3.2,0.44
Britannia,"3,283.80","3,195.00","3,259.85","3,246.55",13.3,0.41
ICICI Bank,719.80,707.15,714.20,711.30,2.9,0.41
UPL,812.70,782.80,792.15,789.80,2.35,0.3
SBI,479.00,463.65,476.55,475.20,1.35,0.28
Tata Steel,"1,190.90","1,123.40","1,165.70","1,164.90",0.8,0.07
Hero Motocorp,"2,519.40","2,407.90","2,470.30","2,469.75",0.55,0.02
