company_name,high,low,last_price,prev_close,change,percent_gain
NTPC,127.85,122.25,126.90,123.15,3.75,3.05
HCL Tech,"1,326.45","1,282.70","1,317.05","1,291.90",25.15,1.95
Cipla,955.00,936.10,952.75,935.55,17.2,1.84
IndusInd Bank,893.45,860.00,885.40,870.00,15.4,1.77
Dr Reddys Labs,"4,927.95","4,825.05","4,904.70","4,833.15",71.55,1.48
Wipro,719.90,704.00,714.10,703.70,10.4,1.48
Titan Company,"2,448.00","2,390.70","2,437.30","2,402.15",35.15,1.46
ONGC,141.20,138.50,140.50,138.90,1.6,1.15
TCS,"3,740.00","3,680.00","3,733.75","3,694.70",39.05,1.06
HUL,"2,330.00","2,296.65","2,325.60","2,306.85",18.75,0.81
SBI Life Insura,"1,202.70","1,180.90","1,195.20","1,185.65",9.55,0.81
Tech Mahindra,"1,838.00","1,786.00","1,799.95","1,786.85",13.1,0.73
HDFC Bank,"1,466.85","1,445.00","1,461.50","1,453.85",7.65,0.53
Britannia,"3,586.00","3,526.05","3,573.90","3,559.60",14.3,0.4
Infosys,"1,909.80","1,874.35","1,892.85","1,885.55",7.3,0.39
Bharti Airtel,685.80,674.20,679.35,676.85,2.5,0.37
Power Grid Corp,211.40,201.65,205.35,204.60,0.75,0.37
Adani Ports,726.00,716.45,724.25,722.75,1.5,0.21
TATA Cons. Prod,737.85,725.30,728.00,726.65,1.35,0.19
Divis Labs,"4,657.40","4,610.00","4,627.90","4,621.60",6.3,0.14
Nestle,"19,585.00","19,323.20","19,406.55","19,399.65",6.9,0.04
HDFC,"2,579.80","2,545.40","2,563.70","2,563.55",0.15,0.01
