company_name,high,low,last_price,prev_close,change,percent_gain
TATA Cons. Prod,777.00,727.00,762.50,730.20,32.3,4.42
TCS,"3,977.00","3,860.05","3,968.15","3,897.90",70.25,1.8
IOC,124.40,121.35,123.30,121.15,2.15,1.77
Infosys,"1,933.00","1,881.00","1,929.35","1,896.80",32.55,1.72
Larsen,"2,049.95","2,007.00","2,044.75","2,018.40",26.35,1.31
HDFC Bank,"1,548.70","1,519.00","1,545.15","1,528.00",17.15,1.12
Tech Mahindra,"1,746.80","1,696.50","1,737.75","1,718.80",18.95,1.1
Adani Ports,795.00,763.65,780.10,772.20,7.9,1.02
BPCL,399.95,392.50,398.45,394.50,3.95,1
Shree Cements,"27,150.00","26,577.25","27,078.45","26,855.30",223.15,0.83
UltraTechCement,"7,700.00","7,566.90","7,660.55","7,606.80",53.75,0.71
Kotak Mahindra,"1,945.00","1,898.00","1,938.20","1,926.35",11.85,0.62
Divis Labs,"4,636.00","4,559.00","4,616.60","4,590.05",26.55,0.58
SBI Life Insura,"1,272.25","1,254.50","1,263.60","1,258.70",4.9,0.39
Bajaj Finance,"7,846.10","7,728.50","7,832.20","7,808.35",23.85,0.31
NTPC,136.15,133.30,135.35,134.95,0.4,0.3
HCL Tech,"1,342.95","1,293.00","1,337.20","1,334.25",2.95,0.22
HDFC Life,674.85,666.20,671.45,670.35,1.1,0.16
Reliance,"2,567.30","2,525.85","2,539.00","2,535.30",3.7,0.15
Maruti Suzuki,"8,145.00","7,951.00","8,084.20","8,077.05",7.15,0.09
Grasim,"1,867.75","1,832.35","1,857.30","1,856.85",0.45,0.02
